"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"PAX8-AS1",166.841333803588,3.3380152318128,0.353898641223768,9.43212220388884,4.01874269152174e-21,7.40011279216814e-17
"CD151",269.207985720352,1.91098947327879,0.246631482737533,7.74835982846714,9.30870486503195e-15,5.71368304615661e-11
"TMEM63C",19.9922141355901,2.45367546838326,0.314626844467356,7.79868441466648,6.25558860411361e-15,5.71368304615661e-11
"ZYG11B",676.972398194157,-0.608129798615916,0.0861159506597581,-7.06175562084452,1.64411952691755e-12,7.56870424216496e-09
"PAX8",21.932619836499,2.8879201836457,0.410960405390453,7.02724677551817,2.10648622714276e-12,7.75776747732134e-09
"DDX11L10",10.9881220050805,-4.34550492196803,0.63743074619998,-6.81721888671609,9.28197895289101e-12,2.84863934064225e-08
"LOC100505530",53.026558864658,3.33903601146383,0.497963448510648,6.70538374141818,2.00877768778943e-11,5.28423319185066e-08
"HERC2P2",104.868056185978,1.2239650263139,0.187569184310321,6.52540570997489,6.781771045635e-11,1.56099415042904e-07
"HLA-H",1742.60693398075,-1.00998319811424,0.158196246360954,-6.38436891738747,1.72105731297383e-10,3.52128326234445e-07
"PRH2",91.3244973188541,-1.1088198077043,0.176023667903048,-6.29926543920802,2.99059480430304e-10,5.50688127264361e-07
"DOK6",154.685983845489,-1.56509387333107,0.250904537769347,-6.2378061682162,4.43750014003724e-10,6.80934396488714e-07
"SCGB3A1",15.5322127257173,-4.39311754107435,0.704124949280397,-6.23911643176972,4.40049373906888e-10,6.80934396488714e-07
"ACCS",122.338494061329,1.73831289545525,0.281767078653828,6.16932575572784,6.85818056044323e-10,9.71434898769244e-07
"ADGRA3",32.1883135104877,-1.60568626516306,0.26474600574307,-6.06500657358865,1.3194825544096e-09,1.73549655406417e-06
"NETO1",25.9452840912958,-1.3725834282185,0.227833118632136,-6.02451231172715,1.69620293443814e-09,2.08225872231626e-06
"IFI27",475.640110392122,5.60527523410248,0.939354313948798,5.96715760056435,2.41422199411047e-09,2.77846773747189e-06
"PDZD8",951.089827289512,-0.742308298253287,0.126742690060583,-5.85681350063238,4.71832470782493e-09,5.11077830411108e-06
"TIAM1",655.025064318178,0.534793877896829,0.0915213644371157,5.84337745821399,5.11529309417018e-09,5.23294483533609e-06
"IGLL5",240.71784320094,1.92532277333647,0.332615335675816,5.78843657170693,7.10445656640855e-09,6.88534016914985e-06
"KLRC2",46.0910836186099,-1.57205179969346,0.272127540852504,-5.7768934183164,7.60924521959434e-09,7.00583207368051e-06
"GSTM1",16.640314042117,6.51252709794895,1.13148614232238,5.75572855411378,8.62689142957202e-09,7.12196589610892e-06
"PXYLP1",144.467974802751,-0.697373970328703,0.121270961988105,-5.75054373195379,8.89568891118199e-09,7.12196589610892e-06
"NEFL",67.3050600909806,1.76353090199066,0.30661899799466,5.75153827233293,8.84350548580445e-09,7.12196589610892e-06
"SLC38A11",18.2004461001696,-1.73056511833635,0.303785672408689,-5.69666470645194,1.22173861066676e-08,9.37378949034075e-06
"GPM6A",9.79994895362735,-2.12376089450502,0.373286581239065,-5.68935772471525,1.27518083817291e-08,9.39247198164642e-06
"BEGAIN",17.8890211789344,1.78123986334012,0.315013479281349,5.6544877616149,1.56311734695626e-08,1.09745781939518e-05
"KLF11",148.719106483799,0.755714637519407,0.133766701145272,5.64949745376985,1.60917568826273e-08,1.09745781939518e-05
"PFN2",80.0203111344137,-0.807980596026297,0.14323092452111,-5.64110438250516,1.68962885887711e-08,1.11117235026297e-05
"HBG1",2400.58927038806,3.86711760015326,0.698681182165429,5.53488157240455,3.11438714484865e-08,1.93009491108711e-05
"TXK",720.153049694724,-0.592107999719761,0.107010151404593,-5.53319467310225,3.1445013214192e-08,1.93009491108711e-05
"NUTM2A-AS1",73.0966322618778,1.27928698455729,0.232938828858862,5.49194391860025,3.97533638497238e-08,2.36134981267359e-05
"SPIN1",321.149160969001,-0.392944286661946,0.0717132795618301,-5.47937967783436,4.26819583491144e-08,2.45607994075185e-05
"IGLL3P",1.49392767335939,-4.59667950738455,0.842115265308693,-5.45849208148429,4.80195276031801e-08,2.67948964025745e-05
"OTOF",28.9090252710409,3.6895302954952,0.682417059464935,5.40656222514142,6.42459139332668e-08,3.47948311519758e-05
"PCNXL4",499.236328863449,-0.387764845306422,0.0720724821960981,-5.38020661271765,7.4400399128031e-08,3.79037904473542e-05
"DDX11L9",3.73048358885433,-3.68266558423816,0.684102552581479,-5.38320690420102,7.31703485099884e-08,3.79037904473542e-05
"SPATS2L",66.8423372669621,1.78066280976881,0.33122489459691,5.37599328678425,7.61616295509996e-08,3.79037904473542e-05
"ADCY3",93.4753081898776,0.70095679544804,0.131852065705702,5.31623673619646,1.05935306987496e-07,5.13340195491515e-05
"OAS1",952.875192549849,2.2315665746973,0.421311573782548,5.29671320125918,1.17905658139409e-07,5.4291281771271e-05
